Sequence_ID,Binding_Score_Sum,Isolated_Id,Strain,Subtype,Collection_Date
A_Anhui-Guichi_SWL1969_2019|EPI_ISL_402310|A_/_H1N1|2019-10-07,0,EPI_ISL_402310,A_Anhui-Guichi_SWL1969_2019,A_/_H1N1,2019-10-07
A_Anhui-Guichi_SWL1989_2019|EPI_ISL_402272|A_/_H1N1|2019-10-28,0,EPI_ISL_402272,A_Anhui-Guichi_SWL1989_2019,A_/_H1N1,2019-10-28
A_Anhui-Guichi_SWL515_2015|EPI_ISL_207711|A_/_H1N1|2015-12-11,0,EPI_ISL_207711,A_Anhui-Guichi_SWL515_2015,A_/_H1N1,2015-12-11
A_Anhui-Guichi_SWL517_2015|EPI_ISL_207710|A_/_H1N1|2015-12-11,0,EPI_ISL_207710,A_Anhui-Guichi_SWL517_2015,A_/_H1N1,2015-12-11
A_Anhui-Hexian_SWL390_2023|EPI_ISL_18068701|A_/_H1N1|2023-03-01,4,EPI_ISL_18068701,A_Anhui-Hexian_SWL390_2023,A_/_H1N1,2023-03-01
A_Anhui-Huashan_SWL12329_2019|EPI_ISL_410623|A_/_H1N1|2019-12-10,0,EPI_ISL_410623,A_Anhui-Huashan_SWL12329_2019,A_/_H1N1,2019-12-10
A_Anhui-Jieshou_SWL135_2024|EPI_ISL_19599360|A_/_H1N1|2024-10-14,2,EPI_ISL_19599360,A_Anhui-Jieshou_SWL135_2024,A_/_H1N1,2024-10-14
A_Anhui-Jinan_SWL11227_2024|EPI_ISL_19675087|A_/_H1N1|2024-11-11,2,EPI_ISL_19675087,A_Anhui-Jinan_SWL11227_2024,A_/_H1N1,2024-11-11
A_Anhui-Jinan_SWL113_2016|EPI_ISL_212616|A_/_H1N1|2016-01-05,0,EPI_ISL_212616,A_Anhui-Jinan_SWL113_2016,A_/_H1N1,2016-01-05
A_Anhui-Jinan_SWL1350_2023|EPI_ISL_18068655|A_/_H1N1|2023-04-04,2,EPI_ISL_18068655,A_Anhui-Jinan_SWL1350_2023,A_/_H1N1,2023-04-04
A_Anhui-Laian_SWL1190_2023|EPI_ISL_18068988|A_/_H1N1|2023-03-06,0,EPI_ISL_18068988,A_Anhui-Laian_SWL1190_2023,A_/_H1N1,2023-03-06
A_Anhui-Laian_SWL1266_2023|EPI_ISL_18068726|A_/_H1N1|2023-03-20,2,EPI_ISL_18068726,A_Anhui-Laian_SWL1266_2023,A_/_H1N1,2023-03-20
A_Anhui-Langya_SWL1109_2016|EPI_ISL_223470|A_/_H1N1|2016-02-03,0,EPI_ISL_223470,A_Anhui-Langya_SWL1109_2016,A_/_H1N1,2016-02-03
A_Anhui-Langya_SWL1170_2017|EPI_ISL_270638|A_/_H1N1|2017-05-02,0,EPI_ISL_270638,A_Anhui-Langya_SWL1170_2017,A_/_H1N1,2017-05-02
A_Anhui-Langya_SWL1293_2023|EPI_ISL_18068993|A_/_H1N1|2023-03-13,0,EPI_ISL_18068993,A_Anhui-Langya_SWL1293_2023,A_/_H1N1,2023-03-13
A_Anhui-Lixin_SWL74_2023|EPI_ISL_18069039|A_/_H1N1|2023-02-17,2,EPI_ISL_18069039,A_Anhui-Lixin_SWL74_2023,A_/_H1N1,2023-02-17
A_Anhui-Longzihu_SWL1226_2019|EPI_ISL_367266|A_/_H1N1|2019-02-21,0,EPI_ISL_367266,A_Anhui-Longzihu_SWL1226_2019,A_/_H1N1,2019-02-21
A_Anhui-Longzihu_SWL1294_2023|EPI_ISL_18068703|A_/_H1N1|2023-03-02,4,EPI_ISL_18068703,A_Anhui-Longzihu_SWL1294_2023,A_/_H1N1,2023-03-02
A_Anhui-Luyang_SWL1103_2010|EPI_ISL_74939|A_/_H1N1|2010-01-19,0,EPI_ISL_74939,A_Anhui-Luyang_SWL1103_2010,A_/_H1N1,2010-01-19
A_Anhui-Qiaocheng_2374_2024|EPI_ISL_19291204|A_/_H1N1|2024-04-12,2,EPI_ISL_19291204,A_Anhui-Qiaocheng_2374_2024,A_/_H1N1,2024-04-12
A_Anhui-Qiaocheng_SWL11259_2023|EPI_ISL_18613888|A_/_H1N1|2023-09-02,2,EPI_ISL_18613888,A_Anhui-Qiaocheng_SWL11259_2023,A_/_H1N1,2023-09-02
A_Anhui-Qiaocheng_SWL11278_2023|EPI_ISL_18820529|A_/_H1N1|2023-09-06,2,EPI_ISL_18820529,A_Anhui-Qiaocheng_SWL11278_2023,A_/_H1N1,2023-09-06
A_Anhui-Qiaocheng_SWL11345_2023|EPI_ISL_18613889|A_/_H1N1|2023-09-16,2,EPI_ISL_18613889,A_Anhui-Qiaocheng_SWL11345_2023,A_/_H1N1,2023-09-16
A_Anhui-Qiaocheng_SWL1714_2024|EPI_ISL_19291244|A_/_H1N1|2024-05-06,2,EPI_ISL_19291244,A_Anhui-Qiaocheng_SWL1714_2024,A_/_H1N1,2024-05-06
A_Anhui-Qiaocheng_SWL2486_2024|EPI_ISL_19291235|A_/_H1N1|2024-05-04,2,EPI_ISL_19291235,A_Anhui-Qiaocheng_SWL2486_2024,A_/_H1N1,2024-05-04
A_Anhui-Qiaocheng_SWL51_2023|EPI_ISL_18068926|A_/_H1N1|2023-02-23,2,EPI_ISL_18068926,A_Anhui-Qiaocheng_SWL51_2023,A_/_H1N1,2023-02-23
A_Anhui-Suixi_SWL146_2024|EPI_ISL_19599366|A_/_H1N1|2024-10-21,2,EPI_ISL_19599366,A_Anhui-Suixi_SWL146_2024,A_/_H1N1,2024-10-21
A_Anhui-Tianjiaan_SWL1282_2018|EPI_ISL_335042|A_/_H1N1|2018-04-09,0,EPI_ISL_335042,A_Anhui-Tianjiaan_SWL1282_2018,A_/_H1N1,2018-04-09
A_Anhui-Tianjiaan_SWL1394_2023|EPI_ISL_18068728|A_/_H1N1|2023-04-03,2,EPI_ISL_18068728,A_Anhui-Tianjiaan_SWL1394_2023,A_/_H1N1,2023-04-03
A_Anhui-Tianjiaan_SWL1502_2016|EPI_ISL_225335|A_/_H1N1|2016-05-06,0,EPI_ISL_225335,A_Anhui-Tianjiaan_SWL1502_2016,A_/_H1N1,2016-05-06
A_Anhui-Tianjiaan_SWL1885_2018|EPI_ISL_336901|A_/_H1N1|2018-12-17,0,EPI_ISL_336901,A_Anhui-Tianjiaan_SWL1885_2018,A_/_H1N1,2018-12-17
A_Anhui-Tianjiaan_SWL1911_2024|EPI_ISL_19599431|A_/_H1N1|2024-10-08,2,EPI_ISL_19599431,A_Anhui-Tianjiaan_SWL1911_2024,A_/_H1N1,2024-10-08
A_Anhui-Tunxi_SWL11328_2024|EPI_ISL_19674994|A_/_H1N1|2024-12-02,4,EPI_ISL_19674994,A_Anhui-Tunxi_SWL11328_2024,A_/_H1N1,2024-12-02
A_Anhui-Tunxi_SWL1319_2023|EPI_ISL_18068816|A_/_H1N1|2023-03-28,2,EPI_ISL_18068816,A_Anhui-Tunxi_SWL1319_2023,A_/_H1N1,2023-03-28
A_Anhui-Tunxi_SWL1434_2023|EPI_ISL_18068635|A_/_H1N1|2023-05-02,2,EPI_ISL_18068635,A_Anhui-Tunxi_SWL1434_2023,A_/_H1N1,2023-05-02
A_Anhui-Tunxi_SWL1778_2024|EPI_ISL_19599459|A_/_H1N1|2024-09-03,2,EPI_ISL_19599459,A_Anhui-Tunxi_SWL1778_2024,A_/_H1N1,2024-09-03
A_Anhui-Wuwei_SWL1166_2024|EPI_ISL_19675082|A_/_H1N1|2024-11-11,2,EPI_ISL_19675082,A_Anhui-Wuwei_SWL1166_2024,A_/_H1N1,2024-11-11
A_Anhui-Wuwei_SWL146_2024|EPI_ISL_19599411|A_/_H1N1|2024-10-14,2,EPI_ISL_19599411,A_Anhui-Wuwei_SWL146_2024,A_/_H1N1,2024-10-14
A_Anhui-Xiangshan_SWL1894_2014|EPI_ISL_169757|A_/_H1N1|2014-10-23,0,EPI_ISL_169757,A_Anhui-Xiangshan_SWL1894_2014,A_/_H1N1,2014-10-23
A_Anhui-Xixian_SWL375_2023|EPI_ISL_18069038|A_/_H1N1|2023-03-02,2,EPI_ISL_18069038,A_Anhui-Xixian_SWL375_2023,A_/_H1N1,2023-03-02
A_Anhui-Yaohai_SWL1463_2017|EPI_ISL_278687|A_/_H1N1|2017-06-05,0,EPI_ISL_278687,A_Anhui-Yaohai_SWL1463_2017,A_/_H1N1,2017-06-05
A_Anhui-Yaohai_SWL1970_2018|EPI_ISL_336895|A_/_H1N1|2018-12-03,0,EPI_ISL_336895,A_Anhui-Yaohai_SWL1970_2018,A_/_H1N1,2018-12-03
A_Anhui-Yian_SWL11088_2024|EPI_ISL_19675086|A_/_H1N1|2024-10-28,2,EPI_ISL_19675086,A_Anhui-Yian_SWL11088_2024,A_/_H1N1,2024-10-28
A_Anhui-Yian_SWL1162_2024|EPI_ISL_19291102|A_/_H1N1|2024-03-06,2,EPI_ISL_19291102,A_Anhui-Yian_SWL1162_2024,A_/_H1N1,2024-03-06
A_Anhui-Yian_SWL1863_2018|EPI_ISL_336896|A_/_H1N1|2018-11-27,0,EPI_ISL_336896,A_Anhui-Yian_SWL1863_2018,A_/_H1N1,2018-11-27
A_Anhui-Yingjiang_SWL11099_2024|EPI_ISL_19373868|A_/_H1N1|2024-07-01,2,EPI_ISL_19373868,A_Anhui-Yingjiang_SWL11099_2024,A_/_H1N1,2024-07-01
A_Anhui-Yingjiang_SWL12164_2023|EPI_ISL_18613827|A_/_H1N1|2023-10-11,2,EPI_ISL_18613827,A_Anhui-Yingjiang_SWL12164_2023,A_/_H1N1,2023-10-11
A_Anhui-Yingjiang_SWL12262_2023|EPI_ISL_18613829|A_/_H1N1|2023-10-24,0,EPI_ISL_18613829,A_Anhui-Yingjiang_SWL12262_2023,A_/_H1N1,2023-10-24
A_Anhui-Yingjiang_SWL1978_2023|EPI_ISL_18068638|A_/_H1N1|2023-04-25,2,EPI_ISL_18068638,A_Anhui-Yingjiang_SWL1978_2023,A_/_H1N1,2023-04-25
A_Anhui-Yingzhou_SWL11721_2024|EPI_ISL_19599367|A_/_H1N1|2024-10-16,2,EPI_ISL_19599367,A_Anhui-Yingzhou_SWL11721_2024,A_/_H1N1,2024-10-16
A_Anhui-Yingzhou_SWL11738_2024|EPI_ISL_19599368|A_/_H1N1|2024-10-21,2,EPI_ISL_19599368,A_Anhui-Yingzhou_SWL11738_2024,A_/_H1N1,2024-10-21
A_Anhui-Yongqiao_SWL1196_2019|EPI_ISL_367259|A_/_H1N1|2019-02-24,0,EPI_ISL_367259,A_Anhui-Yongqiao_SWL1196_2019,A_/_H1N1,2019-02-24
A_Anhui-Yongqiao_SWL1276_2023|EPI_ISL_18068702|A_/_H1N1|2023-03-08,4,EPI_ISL_18068702,A_Anhui-Yongqiao_SWL1276_2023,A_/_H1N1,2023-03-08
A_Anhui_1225_2010|EPI_ISL_123991|A_/_H1N1|2010-01-14,0,EPI_ISL_123991,A_Anhui_1225_2010,A_/_H1N1,2010-01-14
A_Anseriformes_Anhui_L167_2014|EPI_ISL_266414|A_/_H1N1|2014-12-25,0,EPI_ISL_266414,A_Anseriformes_Anhui_L167_2014,A_/_H1N1,2014-12-25
A_Anseriformes_Anhui_L259_2014|EPI_ISL_266415|A_/_H1N1|2014-12-22,0,EPI_ISL_266415,A_Anseriformes_Anhui_L259_2014,A_/_H1N1,2014-12-22
A_Anseriformes_Anhui_L25_2014|EPI_ISL_266413|A_/_H1N1|2014-12-22,0,EPI_ISL_266413,A_Anseriformes_Anhui_L25_2014,A_/_H1N1,2014-12-22
A_Anseriformes_Anhui_L6_2014|EPI_ISL_266410|A_/_H1N2|2014-12-27,0,EPI_ISL_266410,A_Anseriformes_Anhui_L6_2014,A_/_H1N2,2014-12-27
A_Anseriformes_Anhui_S107_2014|EPI_ISL_266409|A_/_H1N1|2014-12-22,0,EPI_ISL_266409,A_Anseriformes_Anhui_S107_2014,A_/_H1N1,2014-12-22
A_Anseriformes_Anhui_S3_2014|EPI_ISL_266407|A_/_H1N1|2014-12-24,0,EPI_ISL_266407,A_Anseriformes_Anhui_S3_2014,A_/_H1N1,2014-12-24
A_Anseriformes_Anhui_S61_2014|EPI_ISL_266408|A_/_H1N2|2014-12-22,0,EPI_ISL_266408,A_Anseriformes_Anhui_S61_2014,A_/_H1N2,2014-12-22
A_Bean_Goose_Hubei_chenhu_I22_2014_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_I22_2014_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_I35_2014_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_I35_2014_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_I47_2014_H1N2|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_I47_2014_H1N2,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_I66_2014_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_I66_2014_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_IX1_2015|EPI_ISL_294954|A_/_H1N1|2015-02-05,0,EPI_ISL_294954,A_Bean_Goose_Hubei_chenhu_IX1_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_IX25_2015|EPI_ISL_302809|A_/_H1N1|2015-03-09,0,EPI_ISL_302809,A_Bean_Goose_Hubei_chenhu_IX25_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_V39_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_V39_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_V43_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_V43_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_VI30_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_VI30_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_VI33_2015|EPI_ISL_302711|A_/_H1N1|2015-02-05,0,EPI_ISL_302711,A_Bean_Goose_Hubei_chenhu_VI33_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI36_2015|EPI_ISL_302712|A_/_H1N1|2015-02-05,0,EPI_ISL_302712,A_Bean_Goose_Hubei_chenhu_VI36_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI37_2015|EPI_ISL_302713|A_/_H1N1|2015-02-05,0,EPI_ISL_302713,A_Bean_Goose_Hubei_chenhu_VI37_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI40_2015|EPI_ISL_302718|A_/_H1N1|2015-02-05,0,EPI_ISL_302718,A_Bean_Goose_Hubei_chenhu_VI40_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI47_2015|EPI_ISL_302721|A_/_H1N1|2015-02-05,0,EPI_ISL_302721,A_Bean_Goose_Hubei_chenhu_VI47_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI51_2015|EPI_ISL_302723|A_/_H1N1|2015-02-05,0,EPI_ISL_302723,A_Bean_Goose_Hubei_chenhu_VI51_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI55_2015|EPI_ISL_302724|A_/_H1N1|2015-02-05,0,EPI_ISL_302724,A_Bean_Goose_Hubei_chenhu_VI55_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI59_2015|EPI_ISL_302726|A_/_H1N1|2015-02-05,0,EPI_ISL_302726,A_Bean_Goose_Hubei_chenhu_VI59_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI60_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_VI60_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_VI62_2015|EPI_ISL_302730|A_/_H1N1|2015-02-05,0,EPI_ISL_302730,A_Bean_Goose_Hubei_chenhu_VI62_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI68_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_VI68_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_VI70_2015|EPI_ISL_302761|A_/_H1N1|2015-02-05,0,EPI_ISL_302761,A_Bean_Goose_Hubei_chenhu_VI70_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI74_2015|EPI_ISL_302762|A_/_H1N1|2015-02-05,0,EPI_ISL_302762,A_Bean_Goose_Hubei_chenhu_VI74_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VI77_2015|EPI_ISL_302763|A_/_H1N1|2015-02-05,0,EPI_ISL_302763,A_Bean_Goose_Hubei_chenhu_VI77_2015,A_/_H1N1,2015-02-05
A_Bean_Goose_Hubei_chenhu_VIII35_2015|EPI_ISL_302772|A_/_H1N1|2015-03-09,0,EPI_ISL_302772,A_Bean_Goose_Hubei_chenhu_VIII35_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_VIII40_2015|EPI_ISL_302773|A_/_H1N1|2015-03-09,0,EPI_ISL_302773,A_Bean_Goose_Hubei_chenhu_VIII40_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_VIII53_2015|EPI_ISL_302774|A_/_H1N1|2015-03-09,0,EPI_ISL_302774,A_Bean_Goose_Hubei_chenhu_VIII53_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_VIII71_2015|EPI_ISL_302802|A_/_H1N1|2015-03-09,0,EPI_ISL_302802,A_Bean_Goose_Hubei_chenhu_VIII71_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_VIII74_2015|EPI_ISL_302808|A_/_H1N1|2015-03-09,0,EPI_ISL_302808,A_Bean_Goose_Hubei_chenhu_VIII74_2015,A_/_H1N1,2015-03-09
A_Bean_Goose_Hubei_chenhu_XIV59-2_2015_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu_XIV59-2_2015_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu_XVI285_2016|EPI_ISL_302821|A_/_H1N1|2016-02-26,0,EPI_ISL_302821,A_Bean_Goose_Hubei_chenhu_XVI285_2016,A_/_H1N1,2016-02-26
A_Bean_Goose_Hubei_chenhu__XVI268-1_2016_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu__XVI268-1_2016_H1N1,Unknown_Subtype,Unknown_Date
A_Bean_Goose_Hubei_chenhu__XVI269_2016|EPI_ISL_302810|A_/_H1N1|2016-02-26,0,EPI_ISL_302810,A_Bean_Goose_Hubei_chenhu__XVI269_2016,A_/_H1N1,2016-02-26
A_Bean_Goose_Hubei_chenhu__XVI272_2016|EPI_ISL_302813|A_/_H1N1|2016-02-26,0,EPI_ISL_302813,A_Bean_Goose_Hubei_chenhu__XVI272_2016,A_/_H1N1,2016-02-26
A_Bean_Goose_Hubei_chenhu__XVI278_2016|EPI_ISL_302816|A_/_H1N1|2016-02-26,0,EPI_ISL_302816,A_Bean_Goose_Hubei_chenhu__XVI278_2016,A_/_H1N1,2016-02-26
A_Bean_Goose_Hubei_chenhu__XVI301-1_2016_H1N1|Unknown_ID|Unknown_Subtype|Unknown_Date,0,Unknown_ID,A_Bean_Goose_Hubei_chenhu__XVI301-1_2016_H1N1,Unknown_Subtype,Unknown_Date
A_Beijing-Chaoyang_1583_2010|EPI_ISL_79648|A_/_H1N1|2010-03-09,1,EPI_ISL_79648,A_Beijing-Chaoyang_1583_2010,A_/_H1N1,2010-03-09
A_Beijing-Chaoyang_SWL11130_2023|EPI_ISL_18068625|A_/_H1N1|2023-05-01,2,EPI_ISL_18068625,A_Beijing-Chaoyang_SWL11130_2023,A_/_H1N1,2023-05-01
A_Beijing-Chaoyang_SWL11135_2024|EPI_ISL_19291277|A_/_H1N1|2024-05-20,2,EPI_ISL_19291277,A_Beijing-Chaoyang_SWL11135_2024,A_/_H1N1,2024-05-20
A_Beijing-Chaoyang_SWL11236_2024|EPI_ISL_19374023|A_/_H1N1|2024-06-03,2,EPI_ISL_19374023,A_Beijing-Chaoyang_SWL11236_2024,A_/_H1N1,2024-06-03
A_Beijing-Chaoyang_SWL12077_2024|EPI_ISL_19599463|A_/_H1N1|2024-09-09,2,EPI_ISL_19599463,A_Beijing-Chaoyang_SWL12077_2024,A_/_H1N1,2024-09-09
A_Beijing-Chaoyang_SWL1253_2014|EPI_ISL_178243|A_/_H1N1|2014-02-03,0,EPI_ISL_178243,A_Beijing-Chaoyang_SWL1253_2014,A_/_H1N1,2014-02-03
A_Beijing-Chaoyang_SWL12591_2018|EPI_ISL_334595|A_/_H1N1|2018-10-29,0,EPI_ISL_334595,A_Beijing-Chaoyang_SWL12591_2018,A_/_H1N1,2018-10-29
A_Beijing-Chaoyang_SWL12611_2024|EPI_ISL_19599391|A_/_H1N1|2024-10-21,2,EPI_ISL_19599391,A_Beijing-Chaoyang_SWL12611_2024,A_/_H1N1,2024-10-21
A_Beijing-Chaoyang_SWL12665_2018|EPI_ISL_334585|A_/_H1N1|2018-11-05,0,EPI_ISL_334585,A_Beijing-Chaoyang_SWL12665_2018,A_/_H1N1,2018-11-05
A_Beijing-Chaoyang_SWL12711_2019|EPI_ISL_402279|A_/_H1N1|2019-11-11,0,EPI_ISL_402279,A_Beijing-Chaoyang_SWL12711_2019,A_/_H1N1,2019-11-11
A_Beijing-Chaoyang_SWL12936_2019|EPI_ISL_410708|A_/_H1N1|2019-12-09,0,EPI_ISL_410708,A_Beijing-Chaoyang_SWL12936_2019,A_/_H1N1,2019-12-09
A_Beijing-Chaoyang_SWL12942_2018|EPI_ISL_344426|A_/_H1N1|2018-12-03,0,EPI_ISL_344426,A_Beijing-Chaoyang_SWL12942_2018,A_/_H1N1,2018-12-03
A_Beijing-Chaoyang_SWL13037_2024|EPI_ISL_19675038|A_/_H1N1|2024-11-25,2,EPI_ISL_19675038,A_Beijing-Chaoyang_SWL13037_2024,A_/_H1N1,2024-11-25
A_Beijing-Chaoyang_SWL13069_2018|EPI_ISL_337386|A_/_H1N1|2018-12-24,0,EPI_ISL_337386,A_Beijing-Chaoyang_SWL13069_2018,A_/_H1N1,2018-12-24
A_Beijing-Chaoyang_SWL13086_2024|EPI_ISL_19675014|A_/_H1N1|2024-12-03,2,EPI_ISL_19675014,A_Beijing-Chaoyang_SWL13086_2024,A_/_H1N1,2024-12-03
A_Beijing-Chaoyang_SWL1330_2023|EPI_ISL_17416521|A_/_H1N1|2023-02-06,2,EPI_ISL_17416521,A_Beijing-Chaoyang_SWL1330_2023,A_/_H1N1,2023-02-06
A_Beijing-Chaoyang_SWL1333_2023|EPI_ISL_17416520|A_/_H1N1|2023-02-07,2,EPI_ISL_17416520,A_Beijing-Chaoyang_SWL1333_2023,A_/_H1N1,2023-02-07
A_Beijing-Chaoyang_SWL1346_2023|EPI_ISL_17416534|A_/_H1N1|2023-02-13,2,EPI_ISL_17416534,A_Beijing-Chaoyang_SWL1346_2023,A_/_H1N1,2023-02-13
A_Beijing-Chaoyang_SWL1359_2023|EPI_ISL_17416523|A_/_H1N1|2023-02-13,2,EPI_ISL_17416523,A_Beijing-Chaoyang_SWL1359_2023,A_/_H1N1,2023-02-13
A_Beijing-Chaoyang_SWL1362_2023|EPI_ISL_17465810|A_/_H1N1|2023-02-13,2,EPI_ISL_17465810,A_Beijing-Chaoyang_SWL1362_2023,A_/_H1N1,2023-02-13
A_Beijing-Chaoyang_SWL1364_2023|EPI_ISL_17416524|A_/_H1N1|2023-02-13,2,EPI_ISL_17416524,A_Beijing-Chaoyang_SWL1364_2023,A_/_H1N1,2023-02-13
A_Beijing-Chaoyang_SWL1422_2023|EPI_ISL_17465809|A_/_H1N1|2023-02-20,2,EPI_ISL_17465809,A_Beijing-Chaoyang_SWL1422_2023,A_/_H1N1,2023-02-20
A_Beijing-Chaoyang_SWL1506_2023|EPI_ISL_18069069|A_/_H1N1|2023-02-27,2,EPI_ISL_18069069,A_Beijing-Chaoyang_SWL1506_2023,A_/_H1N1,2023-02-27
A_Beijing-Chaoyang_SWL1577_2023|EPI_ISL_18069057|A_/_H1N1|2023-03-06,2,EPI_ISL_18069057,A_Beijing-Chaoyang_SWL1577_2023,A_/_H1N1,2023-03-06
A_Beijing-Chaoyang_SWL161_2019|EPI_ISL_337360|A_/_H1N1|2019-01-07,0,EPI_ISL_337360,A_Beijing-Chaoyang_SWL161_2019,A_/_H1N1,2019-01-07
A_Beijing-Chaoyang_SWL16_2017|EPI_ISL_253310|A_/_H1N1|2017-01-03,0,EPI_ISL_253310,A_Beijing-Chaoyang_SWL16_2017,A_/_H1N1,2017-01-03
A_Beijing-Chaoyang_SWL1729_2024|EPI_ISL_19291195|A_/_H1N1|2024-04-08,2,EPI_ISL_19291195,A_Beijing-Chaoyang_SWL1729_2024,A_/_H1N1,2024-04-08
